"Въпрос";"Отговор"
"Как работят агрегатните функции със стойности Null?";"Лекция 4: Първо изключват стойностите Null и работят върху останалите стойности"
"Какво прави COUNT(*) в SQL?";"Лекция 4: Връща броя на редовете в указана таблица, независимо от наличните стойности Null"
"Къде могат да се използват агрегатните функции?";"Лекция 4: Само в оператора SELECT или заедно с ключовата дума HAVING"
"Чрез кой оператор се прави групиране в SQL?";"Лекция 4: GROUP BY"
"Какво трябва да се изброи след GROUP BY?";"Лекция 4: Колоните, по чиито стойности таблицата ще се дели на групи; тези колони се изброяват задължително и след SELECT"
"Чрез кой оператор се задава условие върху групите?";"Лекция 4: HAVING"
"Кога се изчисляват агрегатните функции при използване на HAVING?";"Лекция 4: Само за групите, които отговарят на указаното условие"
"Чрез кой оператор се прави сортиране на резултатната таблица?";"Лекция 4: ORDER BY"
"Как се извършва сортирането по подразбиране в SQL?";"Лекция 4: Възходящо; ключовата дума DESC позволява низходяща подредба"
"Какви операции за обновяване на базата има в SQL?";"Лекция 4: INSERT, DELETE, UPDATE"
"За колко таблици важи всяка команда за обновяване?";"Лекция 4: Само за единствена таблица"
"Какво прави операцията INSERT?";"Лекция 4: Въвежда редове в указаната таблица; позволява добавянето на един или няколко реда"
"Какво прави операцията DELETE?";"Лекция 4: Премахва редове от указаната таблица, които удовлетворяват зададеното условие"
"Какво се случва ако DELETE няма зададено условие?";"Лекция 4: Всички редове се изтриват и таблицата остава празна"
"С коя команда се прави окончателно премахване на таблица от базата?";"Лекция 4: DROP"
"Какво прави операцията UPDATE?";"Лекция 4: Променя стойностите на указаните колони, удовлетворяващи зададеното условие"
"След коя ключова дума се указват имената на колоните при UPDATE?";"Лекция 4: SET"
"С кои команди се създават и унищожават различни обекти в SQL?";"Лекция 4: CREATE и DROP"
"Как се създава база данни в SQL?";"Лекция 4: CREATE DATABASE database_name"
"Как се унищожава база данни в SQL?";"Лекция 4: DROP DATABASE database_name"
"Какво трябва да се направи преди да се създаде дадена таблица?";"Лекция 4: Трябва да бъдат създадени базата и пространството, което ще съдържа таблиците"
"Какви команди правят базата активна?";"Лекция 4: USE database_name или START database_name"
"За какво се използва понятието SQL-схема?";"Лекция 4: За групирането на таблици и други конструкции, които принадлежат на едно и също приложение"
"Как се дефинира схема в SQL?";"Лекция 4: Чрез име и идентификатор за правата, показващ кой потребител има достъп до нея"
"Какво включват елементите на схемата?";"Лекция 4: Таблици, ограничения за цялостност, потребителски представи, домейни и други конструкции"
"Как се създава схема в SQL?";"Лекция 4: CREATE SCHEMA schema_name AUTHORIZATION owner_name"
"Къде се пази описанието на всяка създадена схема?";"Лекция 4: В каталога"
"Коя е специалната схема в каталога?";"Лекция 4: INFORMATION_SCHEMA - съхранява данни относно всички елементи на всички схеми"
"Как се изтрива схема в SQL?";"Лекция 4: DROP SCHEMA database schema_name {CASCADE / RESTRICT}"
"Какво прави опцията CASCADE при изтриване на схема?";"Лекция 4: Премахва схемата заедно с всичките й елементи"
"Какво прави опцията RESTRICT при изтриване на схема?";"Лекция 4: Премахва схемата само ако преди това са премахнати всички нейни елементи"
"С коя команда се създава таблица в SQL?";"Лекция 4: CREATE TABLE"
"В какви категории попадат типовете данни в SQL?";"Лекция 4: Цифрови (numeric), символни низове (character string), битови низове (bit-string), дата/час (date, time)"
"Какви цифрови типове данни има в SQL?";"Лекция 4: Цели числа (INT, SMALLINT) и реални числа (FLOAT, REAL, DOUBLE PRECISION)"
"Какви символни низове има в SQL?";"Лекция 4: С фиксирана дължина CHAR(n) и с променлива дължина CHAR VARYING (n)"
"Какви битови низове има в SQL?";"Лекция 4: С фиксирана дължина BIT(n) и с променлива дължина BIT VARYING (n)"
"Какви типове дата/час има в SQL?";"Лекция 4: DATE (yyyy-mm-dd), TIME (hh:mm:ss), TIMESTAMP (комбинация), INTERVAL (за добавяне/изваждане)"
"Как се задава главният ключ в SQL?";"Лекция 4: Чрез PRIMARY KEY и UNIQUE"
"Как се задават чуждите ключове в SQL?";"Лекция 4: Чрез FOREIGN KEY"
"Как се премахва таблица в SQL?";"Лекция 4: DROP TABLE table_name"
"С коя команда се модифицира описанието на вече създадена таблица?";"Лекция 4: ALTER TABLE"
"Какво променя командата ALTER TABLE?";"Лекция 4: Структурата на схемата"
"Какви възможности дава командата ALTER TABLE?";"Лекция 4: 1) Добавяне/унищожаване на колона 2) Промяна на дефинициите на колона 3) Добавяне/промяна на ограниченията върху таблицата"
"Може ли да се използва NOT NULL при добавяне на нова колона с ALTER TABLE?";"Лекция 4: Не, защото по подразбиране във всички редове на добавената колона се записва Null"
"Какво е характеристика на езика SQL относно вложени изрази?";"Лекция 4: Възможността за влагането на няколко SELECT-FROM-WHERE израза един в друг"
"Как се нарича външната заявка при вложени блокове?";"Лекция 4: Outer query (външна заявка)"
"Как се нарича вътрешната заявка при вложени блокове?";"Лекция 4: Inner query (вътрешна заявка)"
"Може ли нивото на влагане да е произволно?";"Лекция 4: Да, нивото на влагане може да е произволно"
"Кога е необходимо уточняването на името на колоната чрез синоними?";"Лекция 4: Когато във външната и вложената заявки има колони с еднакви имена"
"Какво означава некорелирана заявка?";"Лекция 4: Външната и вложената заявки са независими - във вложената заявка не се използват имена на колони от таблицата, зададена във външната заявка"
"Какво означава корелирана заявка?";"Лекция 4: Двете заявки са свързани - във вложената заявка се използва колона от външната заявка"
"Какво проверява функцията EXISTS?";"Лекция 4: Дали резултатът на вложена и корелирана заявка съдържа редове или е празно множество"
"Какви допълнителни възможности има SQL?";"Лекция 4: 1) Задаване на потребителски представи 2) Задаване на общи ограничения 3) Управление на потребителски права 4) Вграждане в език за програмиране 5) Работа с тригери 6) Абстрактни типове данни 7) Връзка с XML"
"Какви типове съединение има в SQL?";"Лекция 4: 1) Theta join (общ вид) 2) Natural join (естествено) 3) Left outer join (ляво-външно) 4) Right outer join (дясно-външно) 5) Cross-join (пълно - декартово произведение)"
"Какво е theta join?";"Лекция 4: Съединение от общ вид"
"Какво е natural join?";"Лекция 4: Естествено съединение"
"Какво е left outer join?";"Лекция 4: Ляво-външно съединение"
"Какво е right outer join?";"Лекция 4: Дясно-външно съединение"
"Какво е cross-join?";"Лекция 4: Пълно съединение, което представлява декартово произведение"
"Защо се използват вложени блокове в SQL?";"Лекция 4: Необходими са при задания, където се изисква намирането на определени стойности в базата и използването им в сравнения"
"Какво се случва по подразбиране когато след FROM е зададена повече от една таблица?";"Лекция 4: Извеждат се всички възможни комбинации от редове - декартово произведение"
"Защо символите '%' и '_' са запазени в оператора LIKE?";"Лекция 4: '%' заменя произволен брой символи в низа, а '_' заменя точно един символ"
"Как се използват стойностите при INSERT?";"Лекция 4: Задават се стойностите на всяка колона, като се спазва редът, наложен при дефинирането на таблицата"
"Какво означава конструкцията Constraint в SQL?";"Лекция 4: Служи за подробно описване на ограниченията за цялостност на базата"
"Защо описанието на таблица се изтрива от каталога при DROP TABLE?";"Лекция 4: За да не може таблицата да се използва след премахването й"
"Как потребителят въвежда реални стойности в нова колона, добавена с ALTER TABLE?";"Лекция 4: Чрез командата UPDATE"
"Къде се записва служебната стойност Null при добавяне на нова колона?";"Лекция 4: Във всички редове на добавената нова колона по подразбиране"
"Защо е възможно две колони да носят едно и също име в SQL?";"Лекция 4: При условие, че се намират в отделни таблици"
"Как се уточнява името на колоната когато две колони имат еднакво име?";"Лекция 4: Чрез името на съответната й таблица"
"С коя неуточнена колона се свързва по подразбиране при вложени заявки?";"Лекция 4: С таблицата, указана в най-вътрешния SELECT-FROM-WHERE блок"
