"Въпрос";"Отговор"
"Какво е верижно препълване?";"Лекция 8: Подход за решаване на колизии чрез заделяне на блокове за препълване, свързани помежду си с указатели"
"Какви видове хеширане съществуват?";"Лекция 8: Статично или динамично"
"Защо хеш-файловете се наричат файлове с директен достъп?";"Лекция 8: Защото записите са произволно разпределени върху блокове от диска"
"Кога е ефективно търсенето в хеш-файл?";"Лекция 8: Само когато в критерия за търсене участвува хеш-полето"
"Защо хеш-файлове се използват рядко при бази от данни?";"Лекция 8: Ефективни са само при търсене по хеш-полето"
"Какво реализират файловите организации при обектни СУБД?";"Лекция 8: Връзките чрез физически указатели, като записите се поместват в една област (клъстер)"
"Защо се използват клъстери при зареждане на хранилища?";"Лекция 8: Данните от различни източници се поместват в един клъстер за преформатиране и почистване"
"Какви други структури могат да се използват за файлова организация?";"Лекция 8: B-дървета"
"Какво са RAID?";"Лекция 8: Redundant Arrays of Independent Disks - масиви от независими дискове, които подобряват ефективността на дисковата памет"
"Какво са SAN?";"Лекция 8: Storage Area Networks - локални мрежи за съхранение, онлайн периферни устройства във високоскоростна мрежа"
"Какво са NAS?";"Лекция 8: Network-Attached Storage - специализирани устройства, които осигуряват памет за споделяне на файлове"
"Какво е индексиране?";"Лекция 8: Метод за ефективно търсене на записи в база чрез създаване на допълнителни структури за достъп - индекси"
"Каква е целта на индекса?";"Лекция 8: Да ускори извличането на търсената информация - избягва се последователното претърсване"
"Как се нарича файлът с основните данни?";"Лекция 8: Главен или файл с данни"
"Как се наричат допълнителните структури при индексиране?";"Лекция 8: Индекси или индексни файлове"
"Върху какво се дефинира индексът обикновено?";"Лекция 8: Върху едно поле, което се нарича индексно"
"Какво съхранява индексът?";"Лекция 8: Всяка стойност на избраното индексно поле и указател към блока с данни"
"Какъв може да бъде достъпът до записите при индексиране?";"Лекция 8: Последователен или чрез индекса"
"Какво е главен индекс?";"Лекция 8: Индекс, дефиниран върху поле с уникални стойности, по което физически е подреден даден файл"
"Какво е клъстер индекс?";"Лекция 8: Главен индекс, ако полето, по което е подреден файла е с повтарящи се стойности"
"Какво е вторичен индекс?";"Лекция 8: Индекс, дефиниран върху произволно поле на файла, по което се търси често"
"Какво позволява вторичният индекс?";"Лекция 8: Предоставя логическо сортиране на записите по избраното индексиращо поле"
"Колко главни или клъстер индекси може да има един файл?";"Лекция 8: Най-много един, защото физически може да бъде подреден само по стойностите на едно поле"
"Какво е компактен (dense) индекс?";"Лекция 8: При компактния индекс за всяка стойност на избраното за индексно поле се създава запис"
"Какво е разреден (sparse) индекс?";"Лекция 8: Запис в индексния файл се създава само за определени стойности"
"Защо се нарича индексът структура за достъп?";"Лекция 8: В много системи индексът не е част от файла с данни и може да се създава и променя динамично"
"Какво се прави при нарастване на индексния файл?";"Лекция 8: Прибягва се до създаването на индекси на много нива за намаляване на обхвата на търсенето"
"Какви начини за индексиране на базата съществуват?";"Лекция 8: Инвертирани файлове, различни видове дървовидни структури, многосписъчни файлове"
"Какво използват релационните СУБД за индексиране?";"Лекция 8: Различни видове дървета - B-дърво при Oracle, DB2, Ingress, Sybase, Microsoft SQL Server"
"Какво е B+ дърво?";"Лекция 8: Специализирана структура, при която се елиминират голяма част от указателите чрез използване на индексен файл"
"Какви структури се прилагат при СУБД от трето поколение?";"Лекция 8: R дървета и нови методи за индексиране"
"Какво е клъстериране?";"Лекция 8: Таблици с общи колони се съхраняват физически заедно и образуват клъстер или група"
"Какво е клъстер-ключ?";"Лекция 8: Общите колони, които се съхраняват само на едно място и подобряват достъпа до двете таблици"
"Какви клъстери са реализирани в Oracle?";"Лекция 8: 1) Индексирани клъстери (indexed clusters) 2) Хеш-клъстери (hash clusters)"
"Кои таблици се групират в клъстер?";"Лекция 8: Таблици, чиито колони участват често в условия за съединение и тези колони не се актуализират често"
"Кои таблици не се включват в клъстери?";"Лекция 8: Таблици, чиито редове трябва да се преглеждат последователно или размерът им не превишава един-два блока"
"С коя команда се създават клъстери в SQL?";"Лекция 8: CREATE CLUSTER"
"Какъв е недостатъкът на клъстерирането?";"Лекция 8: Данните могат да се групират върху диска по единствен начин"
"Какво е материализирана представа (materialized view)?";"Лекция 8: Резултат от изпълнението на заявки, при които се извличат данни от няколко таблици"
"Какво ускоряват материализираните представи?";"Лекция 8: Изпълнението на често повтарящи се заявки или заявки с агрегатни функции"
"Кои заявки се избират за материализиране?";"Лекция 8: Онези, при които се наблюдава изпълнение на голям брой входно-изходни дискови операции"
"Къде се прилага материализирането на представи?";"Лекция 8: При хранилищата с данни и средствата за интерактивна аналитична обработка"
"Какво е разделяне (partitioning)?";"Лекция 8: Метод за намаляване на натоварването в хардуерен компонент - разпределяне на данните върху няколко диска"
"Какво е разделяне по обхват (range partitioning)?";"Лекция 8: Данните се сортират и разделят на сегменти с приблизително еднакъв брой записи, всяка група се разполага на отделен диск"
"Какви са преимуществата на разделянето?";"Лекция 8: 1) Съхраняват се по-големи таблици 2) Елиминира се обработването на част от сегментите 3) Подобрено администриране 4) Неявно клъстериране"
"Какво позволява компресирането?";"Лекция 8: Разполагането на по-големи обеми данни в определено пространство с по-бърз достъп"
"Какво е образуване на групи (data striping)?";"Лекция 8: Данните, до които е необходим едновременен достъп, се разпределят върху няколко диска за паралелно изпълнение"
"Какъв е недостатъкът на дублирането на данните?";"Лекция 8: Необходимостта от обновяване на всички копия едновременно и заемането на допълнителна памет"
"Какво е денормализиране на данните?";"Лекция 8: Допуска се нарушаване на изискването за 3NF, като част от отношенията се съхраняват в по-ниски нормални форми за ефективност"
"Каква е целта на денормализирането?";"Лекция 8: Да се намали изпълнението на операцията 'съединение'"
"Какво се събира за всяка заявка, която извлича данни?";"Лекция 8: Данни за таблици с достъп, колони в условие за избор, тип на сравненията, колони в съединение, колони в резултата"
"Какво се събира за всяка заявка, която обновява данни?";"Лекция 8: Данни за файлове, които се обновяват, тип на операцията, стойности на колони в изтриване/модифициране"
"Какъв е принципът 80/20 при честотата на изпълнение?";"Лекция 8: 80% от обработките се извършват от около 20% от заявките или транзакциите"
"При какви файлове трябва да се дефинират минимален брой структури за достъп?";"Лекция 8: При файлове, чиито записи често се обновяват, защото структурите подлежат на променяне"
"Върху какво се задават структури за достъп обикновено?";"Лекция 8: Върху колони, които са главни или кандидат ключове в таблицата"
"Защо се задават структури за достъп върху ключови колони?";"Лекция 8: За да се спазва изискването за уникалност на стойностите на ключа като идентификатор"
