"Въпрос";"Отговор"
"Какви операции за извличане на данни се използват в релационния модел?";"Лекция 3: Релационна алгебра и релационно смятане"
"Какви езици, ориентирани към трансформация, се използват?";"Лекция 3: SQL и графични езици като QBE"
"Какви действия може да предприеме СУБД при нарушаване на ограниченията за цялостност?";"Лекция 3: 1) Прекратява операцията 2) Изпълнява операцията, но предупреждава потребителя 3) Изпълнява специална потребителска програма за корекция 4) Изпълнява допълнителни актуализации за коректно изпълнение"
"Какви ограничения може да наруши въвеждането на кортеж (INSERT)?";"Лекция 3: Може да наруши всеки вид ограничение - key constraint, entity integrity constraints, referential integrity constraints, domain constraints"
"Какво ограничение може да наруши изтриването на кортеж (DELETE)?";"Лекция 3: Може да наруши само ограниченията за цялостност на връзките (referential integrity constraints)"
"Какви средства за защита се използват при операция DELETE?";"Лекция 3: RESTRICT, CASCADE, SET NULL"
"Какво може да наруши актуализирането на кортеж (UPDATE)?";"Лекция 3: Може да наруши ограничения върху домейните и ограничения върху Null стойностите на актуализирания атрибут, или произволно друго ограничение в зависимост от това кой атрибут се обновява"
"Какво са потребителски представи (Views)?";"Лекция 3: Виртуални отношения, които не се пазят физически в базата, а се определят като заявка към базата"
"Какви два вида отношения се пазят в базата данни?";"Лекция 3: Базови отношения (кортежите им физически се съхраняват) и потребителски представи (виртуални отношения)"
"Какво е предназначението на потребителските представи?";"Лекция 3: 1) Ограничават достъпа до базата на определени потребители 2) Осигуряват персонализиран достъп 3) Опростяват сложни операции върху базовите отношения"
"Как се отразяват обновяванията на базовите отношения в потребителските представи?";"Лекция 3: Всички обновявания на базово отношение незабавно се отразяват във всички представи където това отношение участва"
"Какви ограничения има при обновяването на потребителски представи?";"Лекция 3: 1) Обновяванията са разрешени само ако в заявката участва едно базово отношение и се използва негов кандидат ключ 2) Забранено е обновяването на няколко базови отношения едновременно 3) Забранено е използването на агрегатни и групиращи функции"
"Какво е релационна алгебра?";"Лекция 3: Множество от операции за релационния модел, които се използват при намирането на оптимална стратегия за изпълнение на SQL заявки"
"Какво е вход на операция от релационната алгебра?";"Лекция 3: Едно или няколко отношения"
"Какво е резултатът от операция на релационната алгебра?";"Лекция 3: Ново отношение - алгебрата е затворена"
"Какво означава, че релационната алгебра е затворена?";"Лекция 3: Всички обекти, получени в резултат от някоя операция са отношения"
"Какъв тип език е релационната алгебра?";"Лекция 3: Процедурен език"
"Какви множествени операции има в релационната алгебра?";"Лекция 3: 1) Обединение (∪) 2) Сечение (∩) 3) Разлика (−) 4) Декартово произведение (×)"
"Какво означава съвместимост по обединение (union compatible)?";"Лекция 3: Двете отношения трябва да имат еднакъв брой атрибути и съответните атрибути да приемат стойности от един и същ домейн"
"Какво е селекция (σ) в релационната алгебра?";"Лекция 3: Операция за избор на подмножество от кортежи в дадена релация, които удовлетворяват предварително зададено условие за търсене"
"Селекцията е унарна или бинарна операция?";"Лекция 3: Унарна операция - приложима е върху всеки кортеж на единствена релация"
"Селекцията е комутативна операция?";"Лекция 3: Да, операцията е комутативна"
"Какво е проекция (π) в релационната алгебра?";"Лекция 3: Операция за избор на определени колони от дадено отношение"
"Защо се елиминират дублираните кортежи при проекция?";"Лекция 3: За да се получи валидно отношение"
"Проекцията е комутативна операция?";"Лекция 3: Не, операцията не е комутативна"
"Какво е съединение (join) в релационната алгебра?";"Лекция 3: Операция, която комбинира свързани помежду си кортежи от две отношения в един кортеж"
"Какво позволява операцията съединение?";"Лекция 3: Позволява обработката на връзки между отделните отношения"
"Какви видове съединение съществуват?";"Лекция 3: 1) Ляво - всичко отляво, плюс съвпадения отдясно 2) Дясно - всичко отдясно, плюс съвпадения отляво 3) Вътрешно - само съвпадения 4) Пълно - всички възможни комбинации"
"Какво е деление (÷) в релационната алгебра?";"Лекция 3: Релационна операция, която е обратна на декартовото произведение"
"Какво е декартово произведение?";"Лекция 3: Операция, която комбинира кортежи от две релации (всяко по всяко), като не се изисква отношенията да бъдат съвместими по обединение"
"Какви агрегатни функции има в релационната алгебра?";"Лекция 3: SUM, MAXIMUM, MINIMUM, AVERAGE, COUNT"
"Какви допълнителни релационни операции съществуват?";"Лекция 3: Агрегатни функции, групиране и рекурсивна обвивка"
"Какво е основното правило за релационна СУБД?";"Лекция 3: Всяка релационна СУБД трябва да може да управлява базите от данни посредством възможностите на релационния модел"
"Какво гласи правило 1 за релационна СУБД?";"Лекция 3: Представяне на информацията - цялата информация се представя на логическо ниво и по единствен начин чрез стойности в таблици"
"Какво гласи правило 2 за релационна СУБД?";"Лекция 3: Гарантиран достъп - всяка атомарна стойност е логически достижима чрез името на таблицата, стойността на главния ключ и името на колоната"
"Какво гласи правило 3 за релационна СУБД?";"Лекция 3: Системно третиране на стойностите null - стойностите null се поддържат от СУБД по системен път, независимо от типовете на данни"
"Какво гласи правило 4 за релационна СУБД?";"Лекция 3: Динамичен интерактивен каталог - описанието на данните се представя на логическо ниво по същия начин както и самите данни"
"Какво трябва да позволява релационната СУБД според правило 5?";"Лекция 3: Поне един език, с който да се изразяват: дефиниране на данните, дефиниране на потребителски представи, обработка на данните, ограничения за цялостност, права за достъп, граници на транзакциите"
"Какво гласи правило 6 за релационна СУБД?";"Лекция 3: Обновяване на потребителските представи - потребителските представи се обновяват от системата"
"Какво гласи правило 7 за релационна СУБД?";"Лекция 3: Обновяване на данните на високо ниво - обновяването на данните трябва да може да се извършва на ниво таблица"
"Какво гласи правило 8 за релационна СУБД?";"Лекция 3: Физическа независимост на данните - при промяна на методите за достъп или представянето в паметта приложните програми не се променят логически"
"Какво гласи правило 9 за релационна СУБД?";"Лекция 3: Логическа независимост на данните - при промяна в таблиците, наложена от разработването на нови приложения, старите приложения не се променят логически"
"Какво гласи правило 10 за релационна СУБД?";"Лекция 3: Независимост на ограниченията за цялостност - ограниченията се задават с езика за заявки и се съхраняват в каталога, а не в приложните програми"
"Какво гласи правило 11 за релационна СУБД?";"Лекция 3: Независимост на разпределението - приложната програма трябва да работи и при разпределение на базата по възлите на мрежа"
"Какво гласи правило 12 за релационна СУБД?";"Лекция 3: Защита от подривна дейност - достъпът до базата се контролира изцяло от СУБД и нейната цялостност не може да бъде нарушена без знанието на администратора или потребителя"
"Защо филтрирането на кортежи е същественото действие на селекцията?";"Лекция 3: Селекцията извежда само онези кортежи, които удовлетворяват зададеното условие"
"Какво е степента на резултатното отношение при селекция?";"Лекция 3: Равна на степента на изходното отношение R"
"Как могат да се комбинират последователност от селекции?";"Лекция 3: В единствена селекция поради комутативността на операцията"
"Защо отношението не може да съдържа идентични кортежи?";"Лекция 3: Това е едно от основните свойства на отношението в релационния модел"
"Какво означава NOT NULL ограничение?";"Лекция 3: Ограничение, което не позволява NULL стойности в дадена колона"
"Защо съдържанието на потребителската представа е динамично?";"Лекция 3: Защото се определя като заявка към базата и се изчислява всеки път при достъп"
"Какво се случва когато потребителската представа се обнови?";"Лекция 3: Промените се отразяват в базовите отношения"
"Защо е важно условието за съединение в релационната алгебра?";"Лекция 3: Определя върху кои атрибути от двете отношения ще се извърши съединението"
