"Въпрос";"Отговор"
"Защо процедурният DML винаги се вгражда в език за програмиране?";"Лекция 2: Защото той изисква програмна логика за навигация и обработка на данните"
"Какво означава 'user-friendly' интерфейс?";"Лекция 2: Потребителски дружелюбен интерфейс, лесен за използване"
"Защо back up е важна функция на помощните средства?";"Лекция 2: Осигурява възможност за възстановяване при загуба на данни"
"Защо следенето на производителността е важно?";"Лекция 2: Позволява оптимизация и идентифициране на проблеми в работата на базата"
"Защо компресирането на данните е полезно?";"Лекция 2: Намалява необходимото пространство за съхранение"
"Защо управлението на транзакции е ключова функция?";"Лекция 2: Гарантира консистентност и целостност на данните при едновременни операции"
"Защо е важно възстановяването на базата като функция?";"Лекция 2: Позволява връщане към консистентно състояние след грешка или срив"
"Какво означава 'поддържане на връзка с данните'?";"Лекция 2: СУБД поддържа релациите и интегритета между различните данни в базата"
"Защо каталогът е основен компонент на СУБД?";"Лекция 2: Съдържа метаданни за структурата на базата, необходими за всички операции"
"Защо статистиката в каталога е важна?";"Лекция 2: Помага за оптимизация на заявките и управление на ресурсите"
"Какво означава 'legacy' модели?";"Лекция 2: Остарели модели от миналото (йерархични и мрежови)"
"Защо key-value, document-based и graph-based са последни технологии?";"Лекция 2: Отговарят на съвременните нужди за NoSQL и специализирани приложения"
"Защо централизираните и разпределените СУБД са различни?";"Лекция 2: Централизираните са на едно място, разпределените са на множество локации"
"Защо PostgreSQL и MySQL са популярни?";"Лекция 2: Безплатни са с отворен код и предлагат добра функционалност"
"Какво е CODASYL-DBTG report?";"Лекция 2: Доклад от 1971, който установява стандарт за мрежовия модел"
"Защо навигацията е характеристика на мрежовия модел?";"Лекция 2: Данните се достъпват чрез навигация по указатели между записите"
"Защо указателите са недостатък на мрежовия модел?";"Лекция 2: Усложняват структурата и зависят от физическата организация"
"Защо IMS е важна система?";"Лекция 2: Една от първите широко използвани системи с йерархичен модел"
"Защо йерархичният модел е труден за нейерархични данни?";"Лекция 2: Моделът поддържа само дървовидни структури, не може да представя сложни връзки"
"Кой е E.F. Codd?";"Лекция 2: Създател на релационния модел на данните (1970, IBM)"
"Защо релационният модел е революционен?";"Лекция 2: Въвежда математическа основа и декларативен език (SQL) вместо процедурна навигация"
"Защо има толкова много стандарти за SQL?";"Лекция 2: Езикът се развива с времето, добавяйки нова функционалност"
"Какво означава постоянни обекти в ОО модела?";"Лекция 2: Обекти, създадени в програмата, които се съхраняват трайно в базата"
"Защо ODMG е важен?";"Лекция 2: Стандарт за обектни бази, осигуряващ съвместимост между различни системи"
"Защо XML е важен за обектно-релационните СУБД?";"Лекция 2: Позволява обработка на полуструктурирани и документно-ориентирани данни"
"Какво означава разширяване на релационния модел?";"Лекция 2: Добавяне на ОО концепции като класове, наследяване и методи към релационната основа"
"Защо има толкова много различни модели на данните?";"Лекция 2: Различните приложения имат различни изисквания и характеристики"
