"Въпрос";"Отговор"
"Колко поколения бази от данни съществуват според историята?";"Лекция 1: Три поколения"
"Какво е ограничение за цялостност?";"Лекция 1: Правила, които гарантират точността и консистентността на данните в базата"
"Каква е ролята на управлението на правата за достъп в СУБД?";"Лекция 1: Осигурява контрол кой потребител може да достъпва и променя определени данни в базата"
"Защо контролът на излишеството е важна характеристика на СУБД?";"Лекция 1: Предотвратява дублиране на данни, което води до по-ефективно съхранение и избягване на несъответствия"
"Каква е разликата между 'търговски' и СУБД 'с отворен код'?";"Лекция 1: Търговските са платени продукти с лицензи, докато тези с отворен код са безплатни и с публично достъпен код"
"Защо е важно възстановяването на данните като функционалност на СУБД?";"Лекция 1: Позволява възстановяване на данните при системни грешки, сривове или загуба на данни"
"Какво означава 'споделяне на данните' в контекста на бази от данни?";"Лекция 1: Множество потребители могат да достъпват и работят с едни и същи данни едновременно"
"Защо зависимостта между данни и програми е недостатък на традиционния подход?";"Лекция 1: Промените в структурата на данните изискват променяне на всички програми, които ги използват"
"Какво са потребителските представи в СУБД?";"Лекция 1: Различни изгледи на данните, приспособени към нуждите на различните потребители"
"Защо обработването на транзакции е предимство на подхода с бази от данни?";"Лекция 1: Гарантира, че операциите или се изпълняват напълно, или не се изпълняват изобщо, осигурявайки консистентност"
"Защо моделирането на данните е важна характеристика на СУБД?";"Лекция 1: Позволява структурирано представяне на данните според бизнес изискванията и връзките между тях"
"Защо налагането на стандарти е характеристика на СУБД?";"Лекция 1: Осигурява унифициран подход към именуване, формат и организация на данните в цялата организация"
"Каква е ролята на интерфейсите за потребители с различни умения?";"Лекция 1: Позволява различни видове потребители (администратори, програмисти, крайни потребители) да работят с базата на нивото на техните умения"
"Защо управлението на едновременния достъп е важно предимство?";"Лекция 1: Позволява множество потребители да работят едновременно с данните без конфликти и загуба на данни"
"Какво означава защита на базата като предимство?";"Лекция 1: СУБД предоставя механизми за защита на данните от неоторизиран достъп и злонамерени действия"
"Защо несъвместимите файлови формати са проблем в традиционния подход?";"Лекция 1: Различните приложения използват различни формати, което затруднява обмена и интеграцията на данни"
"Какво означава работа с фиксирани заявки като недостатък?";"Лекция 1: В традиционния подход всяка заявка трябва да бъде предварително програмирана, липсва гъвкавост за ad-hoc заявки"
"Защо нарушаването на цялостността е проблем в традиционния подход?";"Лекция 1: Поради дублирането на данни в различни файлове, промените може да не се отразят навсякъде, водейки до несъответствия"
"Защо дефиницията на данните като част от програмата е характеристика на традиционния подход?";"Лекция 1: В традиционния подход структурата на данните е вградена в кода на програмата, а не е отделена в каталог"
"Какво означава, че базите данни се проектират за автоматизиране на бизнес дейности?";"Лекция 1: Това е целта на традиционния файлов подход - първи опит за автоматизиране на определени бизнес дейности"
"Защо съхраняването на данните на едно място е основна характеристика на подхода с БД?";"Лекция 1: За разлика от традиционния подход, всички данни свързани с дейността се централизират, елиминирайки излишеството"
"Какво означава, че СУБД позволява на потребителя да създава бази от данни?";"Лекция 1: СУБД предоставя инструменти за дефиниране на структурата и създаването на нови бази от данни"
"Какво означава, че СУБД позволява да се обработват данни?";"Лекция 1: СУБД предоставя механизми за въвеждане, модификация и изтриване на данни"
"Какво означава, че СУБД позволява да се поддържат данни?";"Лекция 1: СУБД предоставя функции за резервни копия, възстановяване и оптимизация на базата"
"Какво означава, че СУБД управлява достъпа до данни?";"Лекция 1: СУБД контролира кой има право да чете, променя или изтрива различни части от данните"
"Защо са необходими стотици различни продукти СУБД?";"Лекция 1: За да отговорят на различни нужди - от малки приложения до корпоративни системи, с различна функционалност и цени"
"Каква е ролята на администраторите като потребители на БД?";"Лекция 1: Управляват и поддържат базата от данни, осигуряват сигурност и производителност"
"Каква е ролята на проектантите като потребители на БД?";"Лекция 1: Проектират структурата и схемата на базата от данни според бизнес изискванията"
"Каква е ролята на системните аналитици като потребители на БД?";"Лекция 1: Анализират изискванията и проектират информационните системи, които използват базата"
"Каква е ролята на приложните програмисти като потребители на БД?";"Лекция 1: Разработват приложения, които взаимодействат с базата от данни чрез СУБД"
"Каква е ролята на крайните потребители като потребители на БД?";"Лекция 1: Използват приложенията за достъп и работа с данните без да познават техническите детайли"
